strain,converged,kt_final,dmax_final,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz
0.03,True,499,3.3448970240218485e-08,0.2928471473396423,-0.0009737293213169598,-0.0009737295492885887,2.2188053912555993e-17,2.899123235135881e-07,2.268305757291283e-05,-1.0034305979036506e-14,1.0137499825597025e-14,4.861772666605194e-19,9.60963441993826e-16,0.0,2.6754234762078438e-05
0.031,True,499,1.7396743293420446e-08,0.29472579538157023,-0.0010420736314798063,-0.0010420742270749795,6.147422779109353e-17,4.710200598753602e-07,3.7328371085087604e-05,-1.4228525554820816e-13,1.4346931233777943e-13,-1.2110503736726327e-19,1.2284651940016228e-14,0.0,4.398127962681046e-05
0.032,True,499,3.290031242936058e-08,0.2966029336274616,-0.001108015277443043,-0.0011080168395261865,1.243683124611052e-15,7.63001924520195e-07,6.137873009541938e-05,-1.976308237882266e-12,1.9924647864932753e-12,-2.5246008237778662e-17,1.526550202541344e-13,0.0,7.224041698018569e-05
0.033,True,499,1.5401932977690015e-07,0.2984787445964116,-0.0011722756811219166,-0.001172279785918838,2.7034531287801886e-14,1.2312535817384368e-06,0.00010072548230287636,-2.687596936195478e-11,2.7099037870131722e-11,-5.921916140335639e-16,1.8371988978444013e-12,0.0,0.0001184209959929412
0.033999999999999996,True,499,4.1355580561241523e-07,0.3003534391536259,-0.0012356231908556136,-0.001235633971943598,5.755037774519967e-13,1.977166499744426e-06,0.0001647474050756813,-3.5746096933577e-10,3.605343022585059e-10,-1.2981514642177383e-14,2.1355940031218756e-11,0.0,0.000193475702749058
0.034999999999999996,True,499,9.321302276544901e-07,0.3022272620760123,-0.0012988576644296992,-0.0012988858850706982,1.1927255332498713e-11,3.1555208245249824e-06,0.00026815743736607417,-4.6439936339592976e-09,4.686318856737435e-09,-2.7640860829804733e-13,2.386409495012392e-10,0.0,0.00031456171887904287
0.036,True,499,1.917798230566324e-06,0.304100504643003,-0.0013627839369176893,-0.0013628573142384342,2.398302036762594e-10,4.99818693871008e-06,0.00043362312777766264,-5.8848082402007215e-08,5.943160055358745e-08,-5.6632135723755176e-12,2.546954625294877e-09,0.0,0.0005080713705783404
0.037,True,499,3.717141654679826e-06,0.3059735329968057,-0.0014281604458425763,-0.0014283492529482986,4.6631237450091105e-09,7.844636989802532e-06,0.0006953077327198629,-7.262131439677278e-07,7.342896295728004e-07,-1.112576268759673e-10,2.5718120559228398e-08,0.0,0.000813715156933787
0.038,True,499,6.886321781348096e-06,0.30784684933491785,-0.0014955943703103818,-0.0014960731350953222,8.735897808315086e-08,1.2177908171194567e-05,0.0011033469403538305,-8.712138032030491e-06,8.824960436722671e-06,-2.088334678525612e-09,2.420153322141846e-07,0.0,0.0012896636030282757
0.039,True,1205,9.825932194867937e-06,0.3572279743886957,0.0009654877713127986,-0.0004921656899395831,0.24315514911315975,-4.088578188580502e-05,0.2544222194024204,0.0023772548674898687,0.2608599922355623,-0.0002807878679367632,0.001217447470706872,0.0,0.25523551030697816
0.04,True,966,9.372427374892967e-06,0.35833889037484185,0.0009994757420489875,-0.0004704248677879494,0.24203775034249606,-3.467380685309967e-05,0.25339629121260854,0.002435055306900879,0.26065360027915546,-0.00027143221025652253,0.0012365335007489446,0.0,0.2542756532496051
0.040999999999999995,True,831,9.622758014971033e-06,0.3594786722075277,0.0010346850317393722,-0.0004463688079295688,0.2408926061590859,-2.9582381061570555e-05,0.25234252733301554,0.002491911946861116,0.260450721049634,-0.00026813877104618465,0.0012515827355564885,0.0,0.2532809008300467
0.041999999999999996,True,734,9.093793740255762e-06,0.3606473606146353,0.0010710121476247502,-0.00041991518106548653,0.23973342095945552,-2.567542968977293e-05,0.25127208364853554,0.002547411336848724,0.2602638834445364,-0.0002708622398795473,0.001262226891258855,0.0,0.25226255448062074
0.043,True,634,9.639666897182098e-06,0.3618456550697737,0.0011087704945958556,-0.0003908802118737908,0.23854128944134947,-2.3925105217660853e-05,0.2501685339245622,0.0026013728898627584,0.2600788732493622,-0.0002796703918904691,0.0012679496530740688,0.0,0.25120337051314445
0.044,True,550,9.578230809492716e-06,0.36307331385171926,0.0011478429185276728,-0.00035922624207948296,0.2373319142513724,-2.4379625707697536e-05,0.24904471973441603,0.002653362213987402,0.2599097101430652,-0.0002944289836914422,0.0012684719608881203,0.0,0.250116416755027
0.045,True,499,3.059308248898329e-06,0.3643273125889857,0.0011873193213488924,-0.0003251903829962535,0.23616270206781365,-2.5341572923314764e-05,0.24794923195674934,0.0027027659920465766,0.25980229827958,-0.0003147967205451604,0.0012644399050645303,0.0,0.2490521259152637
0.046,True,499,3.4445763491541825e-08,0.36561218197233847,0.0012288791944476676,-0.0002882395700479668,0.2349345451094398,-3.082391598209603e-05,0.24679720420258577,0.0027498218323142613,0.25967940790587685,-0.00034109761431127297,0.0012541865928439966,0.0,0.24792199457271122
0.047,True,499,1.1567569679904466e-09,0.3669286404444779,0.0012727319925744957,-0.000248317125910765,0.2336511274294084,-4.1675298638442266e-05,0.24559099568969017,0.0027940954739986293,0.259546296142198,-0.00037311084118767264,0.0012371213433817272,0.0,0.24672804681845473
0.048,True,499,8.458939104727392e-11,0.3682752744020621,0.0013185335955373102,-0.0002055787609213332,0.2323409899478102,-5.754463440261435e-05,0.2443544015582451,0.0028350824374508863,0.2594266149507355,-0.0004104910974552293,0.0012134122848947132,0.0,0.24549481711540852
0.048999999999999995,True,499,1.1022849299990867e-11,0.36965217520460814,0.0013664497919140572,-0.0001600617705025719,0.2310035690845988,-7.924815871863475e-05,0.24308632927044682,0.002872421572372485,0.25932128525994286,-0.00045297157865983244,0.001182786868538537,0.0,0.2442208942612498
0.049999999999999996,True,499,2.2479518246854013e-12,0.3710594371355787,0.0014166601902607715,-0.00011184138085518977,0.22963795852702043,-0.00010768581349028534,0.2417853517397186,0.002905747792822836,0.25923098078957435,-0.0005002369531108881,0.0011450136351976972,0.0,0.24290451212412126
