step,Ez_V_per_m,Pz_mode_A,P_C_per_m2
0,0.0,0.24299303759271546,-0.43738746766688785
1,7500000.0,0.24245809914367236,-0.43642457845861027
2,15000000.0,0.24192008021684797,-0.43545614439032637
3,22500000.0,0.24138067805182445,-0.43448522049328403
4,30000000.0,0.2408401919911882,-0.43351234558413876
5,37500000.0,0.24029866257989296,-0.43253759264380737
6,45000000.0,0.23975607646270744,-0.4315609376328734
7,52500000.0,0.23921240873098362,-0.43058233571577054
8,60000000.0,0.2386676317204517,-0.42960173709681304
9,67500000.0,0.23812171683753053,-0.42861909030755496
10,75000000.0,0.23757463493087627,-0.4276343428755773
11,82500000.0,0.23702635635796324,-0.4266474414443338
12,90000000.0,0.23647685098722582,-0.42565833177700646
13,97500000.0,0.2359260881862539,-0.42466695873525706
14,105000000.0,0.2353740368066741,-0.4236732662520134
15,112500000.0,0.23481208947918236,-0.4226617610625283
16,120000000.0,0.23426405996349725,-0.4216753079342951
17,127500000.0,0.23370075187083475,-0.42066135336750254
18,135000000.0,0.23314170076383198,-0.41965506137489755
19,142500000.0,0.23258233312478785,-0.41864819962461813
20,150000000.0,0.23202170724475535,-0.41763907304055964
21,157500000.0,0.23145960350675343,-0.4166272863121562
22,165000000.0,0.2308959482862835,-0.41561270691531027
23,172500000.0,0.2303306971890678,-0.414595254940322
24,180000000.0,0.22976381124809347,-0.41357486024656825
25,187500000.0,0.2291952520321939,-0.41255145365794904
26,195000000.0,0.22862498062112604,-0.4115249651180269
27,202500000.0,0.2280529573747926,-0.4104953232746267
28,210000000.0,0.2274791418659794,-0.4094624553587629
29,217500000.0,0.2269034928464805,-0.4084262871236649
30,225000000.0,0.22632596821960618,-0.40738674279529113
31,232500000.0,0.22573778956970098,-0.40632802122546174
32,240000000.0,0.2251631981438645,-0.4052937566589561
33,247500000.0,0.22457240873563458,-0.40423033572414224
34,255000000.0,0.22398534138725934,-0.40317361449706685
35,262500000.0,0.22339734017848442,-0.40211521232127195
36,270000000.0,0.22280742772494322,-0.4010533699048978
37,277500000.0,0.2222153646206982,-0.3999876563172568
38,285000000.0,0.22162106153676323,-0.39891791076617383
39,292500000.0,0.22102445915786267,-0.39784402648415285
40,300000000.0,0.22042550347067716,-0.3967659062472189
41,307500000.0,0.21982414062035455,-0.3956834531166382
42,315000000.0,0.2192115016817263,-0.39458070302710735
43,322500000.0,0.21861204055512706,-0.3935016729992287
44,330000000.0,0.2179956376439371,-0.39239214775908676
45,337500000.0,0.21738243497979445,-0.39128838296363
46,345000000.0,0.21676771828149977,-0.3901818929066996
47,352500000.0,0.21615048511172333,-0.389070873201102
48,360000000.0,0.21553047927173194,-0.3879548626891175
49,367500000.0,0.214907596212819,-0.3868336731830742
50,375000000.0,0.21428176146877798,-0.3857071706438004
51,382500000.0,0.21364399236969203,-0.38455918626544566
52,390000000.0,0.21301900587358416,-0.3834342105724515
53,397500000.0,0.21237629127717056,-0.38227732429890704
54,405000000.0,0.21173624237221825,-0.38112523626999284
55,412500000.0,0.2110940816925366,-0.3799693470465659
56,420000000.0,0.2104487778597704,-0.37880780014758675
57,427500000.0,0.2098000555598078,-0.377640100007654
58,435000000.0,0.20914779338298767,-0.3764660280893778
59,442500000.0,0.2084828195945534,-0.3752690752701961
60,450000000.0,0.20782120808857815,-0.3740781745594407
61,457500000.0,0.20715721413858298,-0.37288298544944937
62,465000000.0,0.2064896123087567,-0.37168130215576206
63,472500000.0,0.2058180798853934,-0.37047254379370814
64,480000000.0,0.20514247580612363,-0.36925645645102256
65,487500000.0,0.20445357069162878,-0.36801642724493183
66,495000000.0,0.2037674875014665,-0.36678147750263973
67,502500000.0,0.2030784487561649,-0.36554120776109683
68,510000000.0,0.20238521321463548,-0.3642933837863439
69,517500000.0,0.2016874437876065,-0.3630373988176917
70,525000000.0,0.200984984813279,-0.36177297266390224
71,532500000.0,0.2002684263173,-0.36048316737114
72,540000000.0,0.19955413658211454,-0.35919744584780616
73,547500000.0,0.19883625887698642,-0.3579052659785756
74,555000000.0,0.1981135140130307,-0.35660432522345525
75,562500000.0,0.1973855426109689,-0.35529397669974405
76,570000000.0,0.19664277265692964,-0.3539569907824734
77,577500000.0,0.19590171962016864,-0.35262309531630354
78,585000000.0,0.19515647063096506,-0.3512816471357371
79,592500000.0,0.19440571933822978,-0.3499302948088136
80,600000000.0,0.1936396789618625,-0.3485514221313525
81,607500000.0,0.19287482612651585,-0.3471746870277285
82,615000000.0,0.1921052250923514,-0.3457894051662325
83,622500000.0,0.19132956006033525,-0.34439320810860347
84,630000000.0,0.19053795354122804,-0.3429683163742105
85,637500000.0,0.18974699816018747,-0.3415445966883375
86,645000000.0,0.18895072073804645,-0.3401112973284836
87,652500000.0,0.18814778767912896,-0.3386660178224321
88,660000000.0,0.1873281610307342,-0.3371906898553216
89,667500000.0,0.1865086612440755,-0.3357155902393359
90,675000000.0,0.18568325680188258,-0.33422986224338863
91,682500000.0,0.18484095548835378,-0.3327137198790368
92,690000000.0,0.1839983553608379,-0.3311970396495082
93,697500000.0,0.1831493858448817,-0.32966889452078707
94,705000000.0,0.18228301909156105,-0.3281094343648099
95,712500000.0,0.1814159016884876,-0.3265486230392777
96,720000000.0,0.1805324523181446,-0.3249584141726603
97,727500000.0,0.17964810517820917,-0.3233665893207765
98,735000000.0,0.17875664328770408,-0.3217619579178673
99,742500000.0,0.17784710091480976,-0.3201247816466576
100,750000000.0,0.17693603154370546,-0.31848485677866983
101,757500000.0,0.17601740859437032,-0.3168313354698666
102,765000000.0,0.17508018259128003,-0.31514432866430403
103,772500000.0,0.1741411363077243,-0.31345404535390375
104,780000000.0,0.17318458147096627,-0.3117322466477393
105,787500000.0,0.17222621209775676,-0.3100071817759622
106,795000000.0,0.1712502588914421,-0.30825046600459577
107,802500000.0,0.1702722945147206,-0.30649013012649706
108,810000000.0,0.16928616956661663,-0.30471510521990997
109,817500000.0,0.16828086892699093,-0.30290556406858365
110,825000000.0,0.16727327995480212,-0.3010919039186438
111,832500000.0,0.16624776619948398,-0.29924597915907114
112,840000000.0,0.16522020719160824,-0.29739637294489485
113,847500000.0,0.16417486680972979,-0.2955147602575136
114,855000000.0,0.16312755441416824,-0.2936295979455028
115,862500000.0,0.16206263941524426,-0.2917127509474397
116,870000000.0,0.16099590756681895,-0.28979263362027413
117,877500000.0,0.1599118471855784,-0.28784132493404113
118,885000000.0,0.15882622020090298,-0.28588719636162535
119,892500000.0,0.15772364157873964,-0.2839025548417314
120,900000000.0,0.15661984026266412,-0.28191571247279545
121,907500000.0,0.1554995674235932,-0.27989922136246775
122,915000000.0,0.15437850257265953,-0.27788130463078714
123,922500000.0,0.15325087462701975,-0.27585157432863555
124,930000000.0,0.15210624093500544,-0.2737912336830098
125,937500000.0,0.15096146909658031,-0.2717306443738446
126,945000000.0,0.1498016131967693,-0.26964290375418476
127,952500000.0,0.14864245619279604,-0.2675564211470329
128,960000000.0,0.14747829829961323,-0.26546093693930384
129,967500000.0,0.14629882518942097,-0.26333788534095776
130,975000000.0,0.14512080935452928,-0.26121745683815273
131,982500000.0,0.14393874480476324,-0.2590897406485738
132,990000000.0,0.14274235697931406,-0.2569362425627653
133,997500000.0,0.14154835586909173,-0.25478704056436513
134,1005000000.0,0.14035120434631368,-0.2526321678233646
135,1012500000.0,0.13914062657457857,-0.25045312783424145
136,1020000000.0,0.13793315471787485,-0.24827967849217472
137,1027500000.0,0.13672319154285845,-0.24610174477714522
