step,Tx,Ty,Tz,Axy,Axz,Ayz,Ayx,Azx,Azy,Px,Py,Pz
1,0.0014382052608083143,-5.371380875473979e-06,-5.401258385518287e-06,0.0008492244719980561,-2.162493929198475e-05,0.0007329834329756384,2.0017543741114872e-05,0.0008247620941920093,2.1858635201775544e-05,-1.745179143982136e-07,1.911414286820098e-07,0.0009360619401197695
2,0.0020675910156305564,-1.448286636933067e-05,-1.4512156716343844e-05,0.0007211489835835465,-3.4145278148851844e-05,0.0005383904528922979,3.2975711934858744e-05,0.0006802113655920866,3.451921252238954e-05,-3.040478531029846e-07,3.092708085216745e-07,0.0008763469478057429
3,0.002971839403975804,-2.9256056922159734e-05,-2.9263217046954473e-05,0.0006124264804827125,-4.0513384320611275e-05,0.0003967748172538679,4.073838027066483e-05,0.0005610649412006279,4.095759148772182e-05,-3.9862862757325524e-07,3.58010241905318e-07,0.000820579003301913
4,0.004271127991657676,-5.253748334441514e-05,-5.250565457617081e-05,0.00052015463110466,-4.280990718632919e-05,0.0002940023294415555,4.4734023854355356e-05,0.00046289987157968897,4.327463097216721e-05,-4.6607873350113176e-07,3.3694981000826917e-07,0.0007684985559991101
5,0.006137983442312333,-8.851053150040939e-05,-8.842446881371718e-05,0.00044183856810315497,-4.249011957994909e-05,0.0002198298698207991,4.604849280877469e-05,0.00038203511712896584,4.2940118346179975e-05,-5.124633293933037e-07,2.418570138320484e-07,0.0007198583590667906
6,0.008819831745862816,-0.00014327876547920627,-0.0001431224707489173,0.00037534305107722235,-4.0562068863279244e-05,0.00016687417098632266,4.5499377016958566e-05,0.00031541982446242026,4.097053129556959e-05,-5.424574249065427e-07,6.468937480631468e-08,0.0006744172929533538
7,0.012670718129118616,-0.000225667062774734,-0.00022542180699464806,0.00031884133614101616,-3.771492721220232e-05,0.00012986690336778788,4.3694704891642565e-05,0.0002605325089342743,3.8057560461377596e-05,-5.596099977543458e-07,-2.0657693780795513e-07,0.0006319298833748115
8,0.018194861454215432,-0.00034824998293881115,-0.0003478925324498042,0.00027076359037999715,-3.441086614677524e-05,0.00010512057158926956,4.10784402028695e-05,0.0002152926845384486,3.466000777652978e-05,-5.665075380898976e-07,-5.882715201299962e-07,0.0005921274363282863
9,0.026103283541356062,-0.0005284532954410914,-0.0005279543338096251,0.00022974486728832583,-3.095001247042904e-05,9.014950834198016e-05,3.7964851160112035e-05,0.00017798488546047177,3.106832186630469e-05,-5.648220236234251e-07,-1.1014118598642107e-06,0.0005546837046269229
10,0.037377920962733756,-0.000789035155792245,-0.0007883582487921599,0.0001945713248950935,-2.7515297645930736e-05,8.340240037680601e-05,3.4563710594804604e-05,0.00014719467443281183,2.7448751930489806e-05,-5.552128709890062e-07,-1.7718359915024133e-06,0.0005191542494081019
